probe_id	gene_symbol	gene_id	gene_title	mapping_status
201543_s_at	SAR1A	56681	secretion associated Ras related GTPase 1A	single_symbol
201544_x_at	BCL2L2-PABPN1///PABPN1///BCL2L2	100529063///8106///599	BCL2L2-PABPN1 readthrough///poly(A) binding protein nuclear 1///BCL2 like 2	multiple_symbols
201545_s_at	BCL2L2-PABPN1///PABPN1	100529063///8106	BCL2L2-PABPN1 readthrough///poly(A) binding protein nuclear 1	multiple_symbols
201546_at	TRIP12	9320	thyroid hormone receptor interactor 12	single_symbol
201547_at	KDM5B	10765	lysine demethylase 5B	single_symbol
201548_s_at	KDM5B	10765	lysine demethylase 5B	single_symbol
201549_x_at	KDM5B	10765	lysine demethylase 5B	single_symbol
201550_x_at	ACTG1///ACTB	71///60	actin gamma 1///actin beta	multiple_symbols
201551_s_at	LAMP1	3916	lysosomal associated membrane protein 1	single_symbol
201552_at	LAMP1	3916	lysosomal associated membrane protein 1	single_symbol
201553_s_at	LAMP1	3916	lysosomal associated membrane protein 1	single_symbol
201554_x_at	GYG1	2992	glycogenin 1	single_symbol
201555_at	MCM3	4172	minichromosome maintenance complex component 3	single_symbol
201556_s_at	VAMP2	6844	vesicle associated membrane protein 2	single_symbol
201557_at	VAMP2	6844	vesicle associated membrane protein 2	single_symbol
201558_at	RAE1	8480	ribonucleic acid export 1	single_symbol
201559_s_at	CLIC4	25932	chloride intracellular channel 4	single_symbol
201560_at	CLIC4	25932	chloride intracellular channel 4	single_symbol
201561_s_at	CLSTN1	22883	calsyntenin 1	single_symbol
201562_s_at	SORD	6652	sorbitol dehydrogenase	single_symbol
201563_at	SORD	6652	sorbitol dehydrogenase	single_symbol
201564_s_at	FSCN1	6624	fascin actin-bundling protein 1	single_symbol
201565_s_at	ID2	3398	inhibitor of DNA binding 2, HLH protein	single_symbol
201566_x_at	ID2	3398	inhibitor of DNA binding 2, HLH protein	single_symbol
201567_s_at	GOLGA4	2803	golgin A4	single_symbol
201568_at	UQCRQ	27089	ubiquinol-cytochrome c reductase complex III subunit VII	single_symbol
201569_s_at	SAMM50	25813	SAMM50 sorting and assembly machinery component	single_symbol
201570_at	SAMM50	25813	SAMM50 sorting and assembly machinery component	single_symbol
201571_s_at	DCTD	1635	dCMP deaminase	single_symbol
201572_x_at	DCTD	1635	dCMP deaminase	single_symbol
201573_s_at	ETF1	2107	eukaryotic translation termination factor 1	single_symbol
201574_at	ETF1	2107	eukaryotic translation termination factor 1	single_symbol
201575_at	SNW1	22938	SNW domain containing 1	single_symbol
201576_s_at	TMPPE///GLB1	643853///2720	transmembrane protein with metallophosphoesterase domain///galactosidase beta 1	multiple_symbols
201577_at	NME1	4830	NME/NM23 nucleoside diphosphate kinase 1	single_symbol
201578_at	PODXL	5420	podocalyxin like	single_symbol
